Group_1,Group_2,Group_3,Group_4,Group_5,Group_6,Group_7,Group_8,Group_9,Group_10,Group_11,Group_12,Group_13,Group_14,Group_15,Group_16,Group_17,Group_18,Group_19,Group_20,Group_21,Group_22,Group_23,Group_24,Group_25
119542472273067.17,35858130631789.94,20232183764180.914,14163705515867.395,821795410129.4009,92838567311.01184,53665515322.94414,57773690652.922485,59665192269.13443,57405993928.72599,49571310991.849686,35033550565.631355,20298768454.17342,10058586364.761719,4298194296.51362,1594963730.98174,525825104.3901253,165254262.94979286,38688827.98273966,6260376.351604324,701429.6992917391,54625.319586550126,2886.286941933834,100.51385854648161,2.241044611917216
119915063113075.12,35961762963907.01,20276963801134.656,14190084895350.287,1017588214310.2217,143076471367.92807,92804727205.81416,91967501019.49379,83987516708.51613,69326752500.02219,50717935498.62314,31237660257.339222,16451359453.406477,7744163486.540212,3310020652.275938,1306883682.702207,488381929.4937899,190998350.273924,55546147.16882409,11442728.526944583,1632661.2804972338,158093.4371838788,9966.46864078463,393.61530417825736,9.462999783932087
119873558251560.72,35949884643432.33,20273240225303.89,14181231042646.855,1046459950797.1586,152591632835.019,99812810427.69556,97048989132.74603,87190135920.07556,71702169009.48825,52679410406.65951,32535324650.465294,17091760694.909618,7972671695.316601,3354061526.6266413,1294724337.3178642,470427154.97247314,174998912.30272812,50442388.8251082,10340992.494624428,1476437.816413363,144727.16295604254,9403.868302453593,392.5477958182936,10.322153117279015
119974068191373.72,35976696239488.57,20281843802072.7,14197681431524.67,973875932729.2509,110037867477.15407,65998640654.74191,65749964166.98744,60649877668.133705,50383219506.92842,36727639866.10228,22318011399.213936,11780805564.303984,5879993445.343129,2911981032.870412,1454996656.800117,826226756.9939806,391884543.57903594,133710079.91219434,31442024.947164442,4864270.260065389,478696.7131665227,28523.063871749502,981.9735758678812,18.881790122765878
119867031973975.53,35947909448530.055,20270740999576.48,14188100414121.662,1002320761928.6001,137477412013.9827,88512051021.17958,88040323159.69609,80948789127.59561,67701124943.61392,50335623142.72019,31387423958.359848,16650743960.370018,7867286567.361764,3372952192.251526,1338980923.0486767,505216159.73185915,200840459.99115992,58824392.257038206,12189852.779362306,1751748.3791194195,171445.22614805933,11003.848121194005,447.1239380622192,11.219929546108936
119421100119679.53,35826308498733.62,20219197060830.797,14149866942080.86,842763919197.1484,89192284520.61177,52147274287.93712,55346340007.79603,55794970001.154205,53363690807.202965,46173756344.80301,32299066369.804726,18366820936.46769,9047275598.817043,4016079503.062509,1665877043.1702495,693961165.0856041,276138001.575855,78414702.70482418,15531839.313817628,2115046.68937232,196675.04054010936,12159.34088878971,484.45797785808554,12.106480316063472
120110343566447.52,36017296063452.53,20301371868123.703,14201307174008.367,731766163170.0621,73577204835.79881,38306143071.70357,44625574496.932014,50556299427.07928,49108687962.66688,40610756248.57833,28022547450.30743,16474300829.775589,8545838879.133117,3920444550.580391,1595783678.5494714,600840210.998378,202099118.20718476,46887485.272544235,7509156.785592745,837100.2488548163,64873.82695200562,3379.6776501061663,114.07232845606444,2.4260467774065084
119903825505081.8,35957351031961.2,20276166785039.594,14182881014378.164,613549374630.964,49380099408.67352,21795528346.281776,26914343856.1059,33862093553.988358,37478273793.835846,35605988243.3979,27411993387.154613,17405313145.471478,9541479380.675285,4570289828.774493,1924629147.278878,747921523.7735283,231140058.91401565,46892196.228370585,6339867.023631729,592636.2341256905,39306.7617260751,1823.666203748931,57.748397160588205,1.2212522206421719
120012972933661.16,35989769963567.03,20288952734831.277,14194352794443.34,727511997850.6061,62260263332.515045,29311502578.755905,34126954836.68643,39385568778.86813,39489833356.57159,33693292990.71629,23535874591.866447,13848526495.1055,7266096071.672647,3512843125.47801,1633010244.7027144,871308825.4175147,353172454.64102256,102130414.32729329,20737863.534174006,2882348.190133839,269021.2223706363,16185.87461476879,602.557965040039,13.511420023368741
119931728870533.75,35968410370154.56,20279884562374.484,14189344049282.385,774528311562.2938,81240304227.71475,44713530412.87861,50556200668.86774,54736300046.328384,52167550524.261955,43091361978.422935,29571210028.77311,17143551017.538506,8734314932.893759,3942893618.7868094,1589183712.3745794,589114832.81079,204510968.4901614,49272696.812706806,8205800.732244029,952423.2866021673,77063.30217458427,4220.377308843339,151.48654502738498,3.4800595591721386
