          	      Aprime      nprime         r^2Reduced mass       500 K      1500 K
BIN 1+BIN 1	     5638.42    -1.95254    0.999999         125   0.0302909   0.0035458
BIN 1+BIN 2	     5565.71    -1.95292    0.999999     166.667   0.0298295  0.00349033
BIN 1+BIN 3	     5631.52    -1.95258    0.999999         200    0.030247  0.00354052
BIN 1+BIN 4	     5792.15    -1.95174    0.999999     222.222   0.0312723  0.00366391
BIN 1+BIN 5	     5973.47     -1.9508    0.999999     235.294   0.0324403  0.00380467
BIN 1+BIN 6	     6124.36    -1.95002    0.999999     242.424   0.0334209  0.00392304
BIN 1+BIN 7	     6228.06    -1.94949    0.999999     246.063   0.0340994  0.00400502
BIN 1+BIN 8	     6280.44    -1.94922    0.999999     248.016   0.0344435  0.00404663
BIN 1+BIN 9	     6272.74    -1.94926    0.999999     249.004   0.0343928  0.00404051
BIN 1+BIN10	     6207.06    -1.94959    0.999999     249.501   0.0339617  0.00398838
BIN 1+BIN11	     6089.59     -1.9502    0.999999      249.75   0.0331942  0.00389566
BIN 1+BIN12	     5928.78    -1.95103    0.999999     249.875   0.0321513  0.00376983
BIN 1+BIN13	        5734    -1.95204    0.999999     249.938   0.0309001   0.0036191
BIN 1+BIN14	     5523.32    -1.95314    0.999999     249.969   0.0295614  0.00345811
BIN 1+BIN15	     5287.76    -1.95439    0.999999     249.984   0.0280825  0.00328061
BIN 1+BIN16	     5042.94     -1.9557    0.999999     249.992   0.0265654  0.00309893
BIN 1+BIN17	     4794.95    -1.95704    0.999999     249.996   0.0250493  0.00291777
BIN 1+BIN18	     4548.59    -1.95839    0.999999     249.998   0.0235636  0.00274064
BIN 1+BIN19	      4307.5    -1.95973    0.999999     249.999   0.0221294  0.00257005
BIN 1+BIN20	     4074.31    -1.96105    0.999999         250   0.0207607   0.0024076
BIN 1+BIN21	     3850.81    -1.96233    0.999999         250    0.019466  0.00225427
BIN 1+BIN22	      3638.1    -1.96357           1         250   0.0182493  0.00211049
BIN 1+BIN23	     3436.78    -1.96477           1         250   0.0171117  0.00197632
BIN 1+BIN24	     3247.03    -1.96592           1         250   0.0160519  0.00185159
BIN 2+BIN 2	     5698.12    -1.95223    0.999999         250   0.0306711  0.00359153
BIN 2+BIN 3	      5975.4    -1.95079    0.999999     333.333   0.0324528  0.00380618
BIN 2+BIN 4	     6358.32    -1.94882    0.999999         400    0.034957  0.00410875
BIN 2+BIN 5	     6768.16    -1.94674    0.999999     444.444    0.037694  0.00444059
BIN 2+BIN 6	     7133.98    -1.94491    0.999999     470.588   0.0401874  0.00474389
BIN 2+BIN 7	     7434.44    -1.94341    0.999999     484.496   0.0422714  0.00499811
BIN 2+BIN 8	     7672.32    -1.94223    0.999999     492.126   0.0439447  0.00520268
BIN 2+BIN 9	     7825.19    -1.94148    0.999999     496.032    0.045031  0.00533571
BIN 2+BIN10	     7891.48    -1.94115    0.999999     498.008   0.0455048  0.00539379
BIN 2+BIN11	     7876.03    -1.94122    0.999999     499.002   0.0453942  0.00538023
BIN 2+BIN12	     7787.91    -1.94166    0.999999       499.5   0.0447653  0.00530316
BIN 2+BIN13	     7638.55     -1.9424    0.999999      499.75   0.0437059  0.00517346
BIN 2+BIN14	     7448.58    -1.94334    0.999999     499.875   0.0423703  0.00501019
BIN 2+BIN15	     7214.05    -1.94451    0.999999     499.938   0.0407396  0.00481118
BIN 2+BIN16	     6952.86    -1.94581    0.999999     499.969   0.0389469  0.00459288
BIN 2+BIN17	     6674.57    -1.94721    0.999999     499.984   0.0370638  0.00436407
BIN 2+BIN18	     6387.17    -1.94867    0.999999     499.992   0.0351477  0.00413183
BIN 2+BIN19	     6097.09    -1.95016    0.999999     499.996    0.033243  0.00390156
BIN 2+BIN20	     5809.34    -1.95165    0.999999     499.998   0.0313825  0.00367718
BIN 2+BIN21	     5527.67    -1.95312    0.999999     499.999   0.0295889  0.00346141
BIN 2+BIN22	     5254.79    -1.95456    0.999999         500    0.027877  0.00325598
BIN 2+BIN23	     4992.52    -1.95597    0.999999         500   0.0262555  0.00306187
BIN 2+BIN24	     4742.02    -1.95733    0.999999         500   0.0247284  0.00287948
BIN 3+BIN 3	     6488.39    -1.94816    0.999999         500   0.0358192  0.00421316
BIN 3+BIN 4	      7135.3     -1.9449    0.999999     666.667   0.0401965    0.004745
BIN 3+BIN 5	     7830.49    -1.94145    0.999999         800   0.0450688  0.00534035
BIN 3+BIN 6	     8476.14    -1.93828    0.999999     888.889    0.049755  0.00591618
BIN 3+BIN 7	     9042.51    -1.93552    0.999998      939.85   0.0539975  0.00644014
BIN 3+BIN 8	     9540.56    -1.93311    0.999998     968.992   0.0578333  0.00691596
BIN 3+BIN 9	      9928.1    -1.93123    0.999998     984.252   0.0608881  0.00729627
BIN 3+BIN10	     10196.9    -1.92993    0.999998     992.063   0.0630436  0.00756536
BIN 3+BIN11	     10348.1     -1.9292    0.999998     996.016   0.0642697   0.0077187
BIN 3+BIN12	     10389.8      -1.929    0.999998     998.004   0.0646101   0.0077613
BIN 3+BIN13	     10334.7    -1.92926    0.999998     999.001   0.0641608  0.00770507
BIN 3+BIN14	     10204.1     -1.9299    0.999998       999.5   0.0631018  0.00757264
BIN 3+BIN15	     10002.2    -1.93087    0.999998      999.75   0.0614792  0.00737001
BIN 3+BIN16	     9747.78     -1.9321    0.999998     999.875    0.059459   0.0071182
BIN 3+BIN17	      9454.5    -1.93352    0.999998     999.938   0.0571634  0.00683271
BIN 3+BIN18	      9134.3    -1.93508    0.999998     999.969    0.054697  0.00652675
BIN 3+BIN19	     8797.27    -1.93671    0.999999     999.984   0.0521451  0.00621106
BIN 3+BIN20	     8451.68     -1.9384    0.999999     999.992   0.0495746  0.00589395
BIN 3+BIN21	     8104.13     -1.9401    0.999999     999.996   0.0470357  0.00558166
BIN 3+BIN22	     7759.72     -1.9418    0.999999     999.998   0.0445647  0.00527859
BIN 3+BIN23	     7422.26    -1.94347    0.999999     999.999   0.0421863  0.00498771
BIN 3+BIN24	     7094.54     -1.9451    0.999999        1000   0.0399163  0.00471086
BIN 4+BIN 4	     8092.58    -1.94016    0.999999        1000   0.0469521   0.0055714
BIN 4+BIN 5	     9136.02    -1.93507    0.999998     1333.33   0.0547101  0.00652838
BIN 4+BIN 6	     10133.6    -1.93024    0.999998        1600   0.0625334  0.00750162
BIN 4+BIN 7	       11043    -1.92584    0.999998     1773.05    0.070033  0.00844196
BIN 4+BIN 8	     11885.1    -1.92176    0.999998      1879.7   0.0773106  0.00936113
BIN 4+BIN 9	     12591.6    -1.91831    0.999998     1937.98   0.0836792   0.0101707
BIN 4+BIN10	     13144.9    -1.91559    0.999997      1968.5    0.088844   0.0108307
BIN 4+BIN11	     13540.8    -1.91364    0.999997     1984.13     0.09264   0.0113178
BIN 4+BIN12	     13785.5    -1.91242    0.999997     1992.03   0.0950283   0.0116251
BIN 4+BIN13	     13891.6    -1.91189    0.999997     1996.01   0.0960751     0.01176
BIN 4+BIN14	     13878.7    -1.91196    0.999997        1998   0.0959476   0.0117435
BIN 4+BIN15	     13763.4    -1.91253    0.999997        1999   0.0948114   0.0115971
BIN 4+BIN16	     13562.4    -1.91353    0.999997      1999.5   0.0928493   0.0113447
BIN 4+BIN17	     13293.3    -1.91486    0.999997     1999.75   0.0902572   0.0110119
BIN 4+BIN18	     12972.1    -1.91644    0.999997     1999.88   0.0872138   0.0106221
BIN 4+BIN19	     12612.6    -1.91821    0.999998     1999.94   0.0838728   0.0101954
BIN 4+BIN20	     12226.9    -1.92009    0.999998     1999.97   0.0803611  0.00974831
BIN 4+BIN21	     11824.9    -1.92205    0.999998     1999.98   0.0767794  0.00929383
BIN 4+BIN22	     11414.7    -1.92404    0.999998     1999.99   0.0732047  0.00884176
BIN 4+BIN23	     11002.8    -1.92603    0.999998        2000   0.0696938  0.00839928
BIN 4+BIN24	     10594.2    -1.92801    0.999998        2000   0.0662869  0.00797137
BIN 5+BIN 5	     10581.1    -1.92807    0.999998        2000    0.066179  0.00795784
BIN 5+BIN 6	     11992.5    -1.92123    0.999998     2666.67   0.0782629  0.00948188
BIN 5+BIN 7	     13310.2    -1.91478    0.999997     3184.71   0.0904181   0.0110325
BIN 5+BIN 8	     14565.4    -1.90851    0.999997      3546.1    0.102872   0.0126388
BIN 5+BIN 9	     15658.2    -1.90293    0.999996      3759.4    0.114493    0.014153
BIN 5+BIN10	     16560.3    -1.89821    0.999996     3875.97    0.124696   0.0154944
BIN 5+BIN11	     17262.6    -1.89445    0.999996     3937.01    0.133059    0.016602
BIN 5+BIN12	     17770.2    -1.89168    0.999996     3968.25    0.139353   0.0174405
BIN 5+BIN13	     18097.7    -1.88986    0.999995     3984.06    0.143533   0.0179995
BIN 5+BIN14	       18261    -1.88895    0.999995     3992.02    0.145653   0.0182836
BIN 5+BIN15	     18293.8    -1.88876    0.999995        3996    0.146082   0.0183413
BIN 5+BIN16	     18208.1    -1.88924    0.999995        3998    0.144963   0.0181911
BIN 5+BIN17	       18024    -1.89027    0.999995        3999    0.142584   0.0178725
BIN 5+BIN18	     17760.5    -1.89173    0.999996      3999.5     0.13923   0.0174241
BIN 5+BIN19	       17434    -1.89352    0.999996     3999.75     0.13516   0.0168814
BIN 5+BIN20	     17059.1    -1.89555    0.999996     3999.88    0.130596   0.0162751
BIN 5+BIN21	     16648.6    -1.89774    0.999996     3999.94    0.125726   0.0156304
BIN 5+BIN22	       16213    -1.90004    0.999996     3999.97    0.120699   0.0149676
BIN 5+BIN23	     15761.3     -1.9024    0.999996     3999.98     0.11563    0.014302
BIN 5+BIN24	     15300.9    -1.90477    0.999997     3999.99    0.110608   0.0136452
BIN 6+BIN 6	     13833.1    -1.91218    0.999997        4000   0.0954968   0.0116854
BIN 6+BIN 7	     15572.7    -1.90338    0.999997     5291.01    0.113556   0.0140304
BIN 6+BIN 8	     17248.9    -1.89452    0.999996     6369.43    0.132892   0.0165799
BIN 6+BIN 9	     18726.4    -1.88631    0.999995      7092.2    0.151833   0.0191148
BIN 6+BIN10	     19967.1    -1.87901    0.999994      7518.8    0.169401    0.021498
BIN 6+BIN11	     20960.5    -1.87284    0.999994     7751.94    0.184783   0.0236096
BIN 6+BIN12	     21716.7     -1.8679    0.999993     7874.02    0.197418   0.0253613
BIN 6+BIN13	     22257.6    -1.86422    0.999993     7936.51    0.207022   0.0267029
BIN 6+BIN14	     22599.6    -1.86181    0.999993     7968.13    0.213366    0.027594
BIN 6+BIN15	     22796.7     -1.8604    0.999992     7984.03    0.217125   0.0281237
BIN 6+BIN16	     22856.5    -1.85997    0.999992     7992.01    0.218281    0.028287
BIN 6+BIN17	     22801.5    -1.86037    0.999992        7996    0.217217   0.0281367
BIN 6+BIN18	       22651    -1.86145    0.999993        7998    0.214338   0.0277309
BIN 6+BIN19	     22421.8    -1.86307    0.999993        7999    0.210039   0.0271263
BIN 6+BIN20	     22128.3    -1.86511    0.999993      7999.5    0.204679   0.0263749
BIN 6+BIN21	     21783.1    -1.86746    0.999993     7999.75     0.19857   0.0255218
BIN 6+BIN22	     21397.1    -1.87002    0.999994     7999.88     0.19197   0.0246042
BIN 6+BIN23	     20979.6    -1.87272    0.999994     7999.94    0.185091   0.0236522
BIN 6+BIN24	     20538.9     -1.8755    0.999994     7999.97    0.178097    0.022689
BIN 7+BIN 7	     17717.7    -1.89196    0.999996      7812.5    0.138692   0.0173522
BIN 7+BIN 8	     19779.6    -1.88014    0.999995     10416.7    0.166637    0.021121
BIN 7+BIN 9	     21583.7    -1.86879    0.999993       12500    0.195132   0.0250433
BIN 7+BIN10	     23082.5    -1.85831    0.999992     13888.9     0.22272   0.0289147
BIN 7+BIN11	     24270.5    -1.84905    0.999991     14705.9    0.248058   0.0325337
BIN 7+BIN12	       25172    -1.84122     0.99999     15151.5    0.270089   0.0357289
BIN 7+BIN13	     25827.1    -1.83496    0.999989     15384.6    0.288126   0.0383782
BIN 7+BIN14	     26265.2    -1.83041    0.999989     15503.9    0.301414   0.0403494
BIN 7+BIN15	     26560.7    -1.82714    0.999988     15564.2    0.311054   0.0417894
BIN 7+BIN16	       26725    -1.82525    0.999988     15594.5    0.316686   0.0426349
BIN 7+BIN17	     26783.8    -1.82455    0.999988     15609.8    0.318756   0.0429462
BIN 7+BIN18	     26756.5    -1.82488    0.999988     15617.4    0.317791    0.042801
BIN 7+BIN19	     26657.3    -1.82604    0.999988     15621.2    0.314341   0.0422826
BIN 7+BIN20	     26497.3    -1.82786    0.999988     15623.1    0.308935   0.0414721
BIN 7+BIN21	     26285.2    -1.83019    0.999989       15624    0.302047   0.0404436
BIN 7+BIN22	     26028.3    -1.83291    0.999989     15624.5     0.29409    0.039261
BIN 7+BIN23	       25733    -1.83589    0.999989     15624.8     0.28541   0.0379775
BIN 7+BIN24	     25405.2    -1.83906     0.99999     15624.9    0.276288    0.036636
BIN 8+BIN 8	     22173.3     -1.8648    0.999993       15625    0.205491   0.0264885
BIN 8+BIN 9	     24205.8    -1.84958    0.999991     20833.3    0.246581   0.0323211
BIN 8+BIN10	     25818.7    -1.83504    0.999989       25000    0.287884   0.0383425
BIN 8+BIN11	     27019.7    -1.82168    0.999987     27777.8    0.327357   0.0442446
BIN 8+BIN12	     27862.6    -1.80989    0.999985     29411.8    0.363225   0.0497322
BIN 8+BIN13	     28422.7    -1.79994    0.999984       30303    0.394169   0.0545623
BIN 8+BIN14	       28766    -1.79222    0.999982     30769.2    0.418543     0.05843
BIN 8+BIN15	     28983.6     -1.7861    0.999981     31007.8    0.438053   0.0615659
BIN 8+BIN16	     29107.7    -1.78184     0.99998     31128.4    0.451714   0.0637833
BIN 8+BIN17	     29171.9    -1.77928     0.99998     31189.1    0.459971   0.0651322
BIN 8+BIN18	     29196.6    -1.77821     0.99998     31219.5    0.463456   0.0657035
BIN 8+BIN19	     29192.7    -1.77838     0.99998     31234.7    0.462885   0.0656098
BIN 8+BIN20	     29164.7    -1.77959     0.99998     31242.4    0.458985   0.0649709
BIN 8+BIN21	     29113.7    -1.78162     0.99998     31246.2    0.452443   0.0639022
BIN 8+BIN22	     29039.3    -1.78428    0.999981     31248.1    0.443873   0.0625086
BIN 8+BIN23	     28940.4    -1.78742    0.999982       31249     0.43381    0.060881
BIN 8+BIN24	     28816.5    -1.79091    0.999982     31249.5      0.4227   0.0590952
BIN 9+BIN 9	     26307.5    -1.82995    0.999989       31250    0.302758   0.0405496
BIN 9+BIN10	     27817.8     -1.8106    0.999986     41666.7    0.361057   0.0493971
BIN 9+BIN11	     28766.8     -1.7922    0.999982       50000     0.41861   0.0584406
BIN 9+BIN12	     29255.6    -1.77535    0.999979     55555.6    0.472717   0.0672273
