          	      Aprime      nprime         r^2Reduced mass       500 K      1500 K
C6H6+BIN 1	     2619.78    -1.96988           1   0.0126359  0.00145121
C6H6+BIN 2	     2412.75    -1.97126           1    0.011538  0.00132312
C6H6+BIN 3	     2295.21    -1.97206           1   0.0109214  0.00125131
C6H6+BIN 4	     2236.32    -1.97247           1   0.0106143  0.00121558
C6H6+BIN 5	     2197.74    -1.97274           1   0.0104138  0.00119226
C6H6+BIN 6	     2161.73    -1.97299           1   0.0102271  0.00117056
C6H6+BIN 7	     2119.24    -1.97329           1   0.0100074  0.00114505
C6H6+BIN 8	     2063.46    -1.97369           1  0.00972002  0.00111167
C6H6+BIN 9	     1995.15    -1.97418           1  0.00936956  0.00107101
C6H6+BIN10	     1915.64    -1.97476           1  0.00896378  0.00102398
C6H6+BIN11	     1827.33    -1.97542           1  0.00851582 0.000972105
C6H6+BIN12	     1733.02    -1.97613           1  0.00804062  0.00091714
C6H6+BIN13	     1635.49    -1.97688           1  0.00755264 0.000860767
C6H6+BIN14	     1540.97    -1.97763           1  0.00708321 0.000806605
C6H6+BIN15	     1443.77    -1.97842           1    0.006604 0.000751384
C6H6+BIN16	     1349.35     -1.9792           1  0.00614211 0.000698229
C6H6+BIN17	     1258.88    -1.97998           1  0.00570282 0.000647741
C6H6+BIN18	     1173.11    -1.98073           1  0.00528941 0.000600287
C6H6+BIN19	     1092.47    -1.98146           1  0.00490351 0.000556046
C6H6+BIN20	     1017.15    -1.98216           1  0.00454556 0.000515057
C6H6+BIN21	     947.153    -1.98284           1  0.00421509 0.000477259
C6H6+BIN22	     882.344    -1.98348           1  0.00391106 0.000442522
C6H6+BIN23	     822.506    -1.98409           1  0.00363202 0.000410675
C6H6+BIN24	     767.361    -1.98467           1  0.00337633 0.000381521
C7H8+BIN 1	     2961.18    -1.96769           1   0.0144785  0.00166685
C7H8+BIN 2	     2755.92      -1.969           1   0.0133659  0.00153654
C7H8+BIN 3	     2646.13    -1.96971           1   0.0127767  0.00146766
C7H8+BIN 4	     2599.29    -1.97002           1   0.0125265  0.00143844
C7H8+BIN 5	     2572.97    -1.97019           1   0.0123863  0.00142207
C7H8+BIN 6	     2546.48    -1.97037           1   0.0122455  0.00140563
C7H8+BIN 7	        2510    -1.97061           1   0.0120519  0.00138304
C7H8+BIN 8	     2456.51    -1.97097           1   0.0117689  0.00135003
C7H8+BIN 9	     2386.38    -1.97144           1   0.0113993  0.00130695
C7H8+BIN10	     2301.18    -1.97202           1   0.0109526  0.00125494
C7H8+BIN11	     2203.82     -1.9727           1   0.0104454  0.00119594
C7H8+BIN12	     2097.74    -1.97345           1  0.00989651  0.00113216
C7H8+BIN13	     1986.37    -1.97424           1  0.00932465  0.00106581
C7H8+BIN14	     1877.21    -1.97505           1  0.00876848  0.00100136
C7H8+BIN15	      1763.9    -1.97589           1  0.00819584 0.000935087
C7H8+BIN16	        1653    -1.97675           1  0.00763999 0.000870853
C7H8+BIN17	     1546.04    -1.97759           1  0.00710827 0.000809495
C7H8+BIN18	     1444.06    -1.97842           1  0.00660546 0.000751552
C7H8+BIN19	     1347.73    -1.97922           1   0.0061342 0.000697319
C7H8+BIN20	     1257.38    -1.97999           1  0.00569552 0.000646902
C7H8+BIN21	     1173.09    -1.98073           1  0.00528931 0.000600275
C7H8+BIN22	     1094.79    -1.98144           1  0.00491458 0.000557314
C7H8+BIN23	     1022.28    -1.98211           1  0.00456986 0.000517838
C7H8+BIN24	     955.274    -1.98276           1  0.00425332  0.00048163
C6H5C2H+BIN 1	     3189.23    -1.96627           1   0.0157316  0.00181394
C6H5C2H+BIN 2	     2987.42    -1.96753           1   0.0146218  0.00168365
C6H5C2H+BIN 3	     2884.92    -1.96817           1   0.0140634  0.00161821
C6H5C2H+BIN 4	     2848.14    -1.96841           1    0.013864  0.00159484
C6H5C2H+BIN 5	     2831.93    -1.96851           1   0.0137762  0.00158457
C6H5C2H+BIN 6	     2813.54    -1.96863           1   0.0136767  0.00157293
C6H5C2H+BIN 7	     2782.59    -1.96883           1   0.0135096  0.00155336
C6H5C2H+BIN 8	     2732.02    -1.96915           1   0.0132372   0.0015215
C6H5C2H+BIN 9	     2661.83    -1.96961           1   0.0128606  0.00147747
C6H5C2H+BIN10	     2573.74    -1.97019           1   0.0123904  0.00142255
C6H5C2H+BIN11	     2471.01    -1.97087           1   0.0118454  0.00135896
C6H5C2H+BIN12	     2357.49    -1.97164           1   0.0112475  0.00128928
C6H5C2H+BIN13	      2237.1    -1.97247           1   0.0106184  0.00121605
C6H5C2H+BIN14	     2118.19     -1.9733           1    0.010002  0.00114441
C6H5C2H+BIN15	     1994.01    -1.97419           1  0.00936373  0.00107034
C6H5C2H+BIN16	     1871.85    -1.97508           1  0.00874129 0.000998207
C6H5C2H+BIN17	     1753.52    -1.97597           1  0.00814363  0.00092905
C6H5C2H+BIN18	     1640.31    -1.97685           1  0.00757667 0.000863542
C6H5C2H+BIN19	     1533.02    -1.97769           1  0.00704388  0.00080207
C6H5C2H+BIN20	     1432.12    -1.97851           1  0.00654681 0.000744799
