Epoch,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Loss
0,0.5288697,0.4998182,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2987694938977559
1,0.5572157,0.5162111,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.26853255182504654
2,0.5848172,0.53342915,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2441517636179924
3,0.61143523,0.5504731,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.22571232914924622
4,0.6363515,0.56646645,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2112500543395678
5,0.6589192,0.5805032,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.201534832517306
6,0.678722,0.5917801,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1960561399658521
7,0.6954358,0.5996289,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19340873385469118
8,0.70875096,0.60378754,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19266019140680632
9,0.7185943,0.6044861,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19282433514793715
10,0.7251426,0.60208696,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19317400207122168
11,0.72876656,0.59713656,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19331455479065576
12,0.72998047,0.5902753,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19312600791454315
13,0.72941387,0.5820413,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19266128043333688
14,0.72767365,0.5730984,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1920607735713323
15,0.72534496,0.5640459,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19149120897054672
16,0.7229306,0.55538934,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19105000421404839
17,0.7208221,0.5475345,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19077117120226225
18,0.7192975,0.54076654,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1906303105254968
19,0.71850353,0.5352379,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19057547797759375
20,0.718466,0.5309736,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19055379802982012
21,0.7191123,0.5278903,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19053020452459654
22,0.7203001,0.52582407,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1904910442729791
23,0.72184277,0.5245936,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19044223676125208
24,0.723406,0.52433836,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19039974734187126
25,0.724782,0.5248898,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19038659582535425
26,0.7258659,0.52595055,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19038286184271178
27,0.72659427,0.5272886,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19038742408156395
28,0.7269493,0.5287195,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19039623315135637
29,0.72695345,0.53011954,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19040472308794656
30,0.7268384,0.5309055,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19042236730456352
31,0.7267008,0.5309686,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19042655701438585
32,0.72655845,0.53049445,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1904254766801993
33,0.72644126,0.5296586,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19042035192251205
34,0.7263802,0.52861583,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1904132900138696
35,0.7262094,0.5280327,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19041236117482185
36,0.7259122,0.5280789,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19041937465469042
37,0.72573763,0.5281056,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1904176970322927
38,0.72575146,0.5279096,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19041090458631516
39,0.7257231,0.5280816,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19040853157639503
40,0.72577,0.52821666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19041069721182188
41,0.725944,0.5280815,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1904054544866085
42,0.726005,0.52828395,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19040527567267418
43,0.7260815,0.52840227,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19040933127204576
44,0.7262401,0.5282031,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19040575871864954
45,0.7262494,0.528336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19040890658895174
46,0.7262589,0.5283769,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19041194766759872
