Bin_name(1)         nC[-](2)            nH[-](3)            nO[-](4)            H/C[-](5)           MW[kg/kmol](6)      density[kg/m3](7)   mass[kg](8)         volume[m3](9)       Dsph[m](10)         Dcol[m](11)         Dpp[m](12)          Df[-](13)           numPP[#](14)        Bin_section(15)     
BIN1A               2.000000e+01        1.600000e+01        0.000000e+00        8.000000e-01        2.563480e+02        1.100000e+03        4.256758e-25        3.869780e-28        9.041265e-10        9.041265e-10        9.041265e-10        3.000000            0.0                 1                   
BIN1B               2.000000e+01        1.000000e+01        0.000000e+00        5.000000e-01        2.503000e+02        1.100000e+03        4.156329e-25        3.778481e-28        8.969595e-10        8.969595e-10        8.969595e-10        3.000000            0.0                 1                   
BIN1C               2.000000e+01        6.000000e+00        0.000000e+00        3.000000e-01        2.462680e+02        1.100000e+03        4.089376e-25        3.717614e-28        8.921172e-10        8.921172e-10        8.921172e-10        3.000000            0.0                 1                   
BIN2A               4.000000e+01        3.200000e+01        0.000000e+00        8.000000e-01        5.126960e+02        1.100000e+03        8.513516e-25        7.739560e-28        1.139128e-09        1.139128e-09        1.139128e-09        3.000000            0.0                 2                   
BIN2B               4.000000e+01        1.600000e+01        0.000000e+00        4.000000e-01        4.965680e+02        1.100000e+03        8.245704e-25        7.496095e-28        1.127056e-09        1.127056e-09        1.127056e-09        3.000000            0.0                 2                   
BIN2C               4.000000e+01        8.000000e+00        0.000000e+00        2.000000e-01        4.885040e+02        1.100000e+03        8.111798e-25        7.374362e-28        1.120922e-09        1.120922e-09        1.120922e-09        3.000000            0.0                 2                   
BIN3A               8.000000e+01        6.000000e+01        0.000000e+00        7.500000e-01        1.021360e+03        1.100000e+03        1.696008e-24        1.541825e-27        1.433328e-09        1.433328e-09        1.433328e-09        3.000000            0.0                 3                   
BIN3B               8.000000e+01        2.400000e+01        0.000000e+00        3.000000e-01        9.850720e+02        1.100000e+03        1.635750e-24        1.487046e-27        1.416148e-09        1.416148e-09        1.416148e-09        3.000000            0.0                 3                   
BIN3C               8.000000e+01        8.000000e+00        0.000000e+00        1.000000e-01        9.689440e+02        1.100000e+03        1.608969e-24        1.462699e-27        1.408377e-09        1.408377e-09        1.408377e-09        3.000000            0.0                 3                   
BIN1AJ              2.000000e+01        1.500000e+01        0.000000e+00        7.500000e-01        2.553400e+02        1.100000e+03        4.239768e-25        3.854334e-28        9.029220e-10        9.029220e-10        9.029220e-10        3.000000            0.0                 1                   
BIN1BJ              2.000000e+01        9.000000e+00        0.000000e+00        4.500000e-01        2.492920e+02        1.100000e+03        4.139344e-25        3.763040e-28        8.957361e-10        8.957361e-10        8.957361e-10        3.000000            0.0                 1                   
BIN1CJ              2.000000e+01        5.000000e+00        0.000000e+00        2.500000e-01        2.452600e+02        1.100000e+03        4.072395e-25        3.702177e-28        8.908807e-10        8.908807e-10        8.908807e-10        3.000000            0.0                 1                   
BIN2AJ              4.000000e+01        3.100000e+01        0.000000e+00        7.750000e-01        5.116880e+02        1.100000e+03        8.496272e-25        7.723884e-28        1.138358e-09        1.138358e-09        1.138358e-09        3.000000            0.0                 2                   
BIN2BJ              4.000000e+01        1.500000e+01        0.000000e+00        3.750000e-01        4.955600e+02        1.100000e+03        8.228477e-25        7.480433e-28        1.126271e-09        1.126271e-09        1.126271e-09        3.000000            0.0                 2                   
BIN2CJ              4.000000e+01        7.000000e+00        0.000000e+00        1.750000e-01        4.874960e+02        1.100000e+03        8.094579e-25        7.358708e-28        1.120128e-09        1.120128e-09        1.120128e-09        3.000000            0.0                 2                   
BIN3AJ              8.000000e+01        5.900000e+01        0.000000e+00        7.375000e-01        1.020352e+03        1.100000e+03        1.694233e-24        1.540212e-27        1.432828e-09        1.432828e-09        1.432828e-09        3.000000            0.0                 3                   
BIN3BJ              8.000000e+01        2.300000e+01        0.000000e+00        2.875000e-01        9.840640e+02        1.100000e+03        1.633979e-24        1.485436e-27        1.415636e-09        1.415636e-09        1.415636e-09        3.000000            0.0                 3                   
BIN3CJ              8.000000e+01        7.000000e+00        0.000000e+00        8.750000e-02        9.679360e+02        1.100000e+03        1.607200e-24        1.461091e-27        1.407860e-09        1.407860e-09        1.407860e-09        3.000000            0.0                 3                   
BIN4AJ              1.600000e+02        1.150000e+02        0.000000e+00        7.187500e-01        2.037680e+03        1.100000e+03        3.383445e-24        3.075859e-27        1.804358e-09        1.804358e-09        1.804358e-09        3.000000            0.0                 4                   
BIN4BJ              1.600000e+02        3.100000e+01        0.000000e+00        1.937500e-01        1.953008e+03        1.100000e+03        3.242853e-24        2.948048e-27        1.779011e-09        1.779011e-09        1.779011e-09        3.000000            0.0                 4                   
BIN4CJ              1.600000e+02        9.000000e+00        0.000000e+00        5.625000e-02        1.930832e+03        1.100000e+03        3.206031e-24        2.914573e-27        1.772252e-09        1.772252e-09        1.772252e-09        3.000000            0.0                 4                   
BIN5AJ              3.200000e+02        2.230000e+02        0.000000e+00        6.968750e-01        4.068304e+03        1.100000e+03        6.755175e-24        6.141068e-27        2.272035e-09        2.272035e-09        2.272035e-09        3.000000            1.0                 5                   
BIN5AJliq           3.200000e+02        2.230000e+02        0.000000e+00        6.968750e-01        4.068304e+03        1.100000e+03        6.755175e-24        6.141068e-27        2.272035e-09        2.272035e-09        2.272035e-09        3.000000            0.0                 5                   
BIN5BJ              3.200000e+02        6.300000e+01        0.000000e+00        1.968750e-01        3.907024e+03        1.100000e+03        6.487379e-24        5.897617e-27        2.241606e-09        2.241606e-09        2.241606e-09        3.000000            1.0                 5                   
BIN5BJliq           3.200000e+02        6.300000e+01        0.000000e+00        1.968750e-01        3.907024e+03        1.100000e+03        6.487379e-24        5.897617e-27        2.241606e-09        2.241606e-09        2.241606e-09        3.000000            0.0                 5                   
BIN5CJ              3.200000e+02        1.700000e+01        0.000000e+00        5.312500e-02        3.860656e+03        1.100000e+03        6.410388e-24        5.827625e-27        2.232703e-09        2.232703e-09        2.232703e-09        3.000000            1.0                 5                   
BIN5CJliq           3.200000e+02        1.700000e+01        0.000000e+00        5.312500e-02        3.860656e+03        1.100000e+03        6.410388e-24        5.827625e-27        2.232703e-09        2.232703e-09        2.232703e-09        3.000000            0.0                 5                   
BIN6AJ              6.400000e+02        4.310000e+02        0.000000e+00        6.734375e-01        8.121488e+03        1.137500e+03        1.348524e-23        1.185516e-26        2.829022e-09        2.829022e-09        2.829022e-09        3.000000            1.0                 6                   
BIN6AJliq           6.400000e+02        4.310000e+02        0.000000e+00        6.734375e-01        8.121488e+03        1.137500e+03        1.348524e-23        1.185516e-26        2.829022e-09        2.829022e-09        2.829022e-09        3.000000            0.0                 6                   
BIN6AJaggI          6.400000e+02        4.310000e+02        0.000000e+00        6.734375e-01        8.121488e+03        1.137500e+03        1.348524e-23        1.185516e-26        2.829022e-09        2.963972e-09        2.272035e-09        1.800000            2.0                 6                   
