Epoch,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Loss
0,0.5288133,0.5046681,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0569875091314316
1,0.55588156,0.52606535,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.005569229523341
2,0.5816947,0.54843664,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9595138554771742
3,0.60631543,0.57068473,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9165934746464094
4,0.6297464,0.5920521,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.871157473574082
5,0.6519928,0.6121634,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8322054110467434
6,0.67297816,0.6306623,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7999638343850771
7,0.6927412,0.64729875,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7733567804098129
8,0.7112151,0.66229486,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7514074643452963
9,0.72840214,0.6757122,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7333197668194771
10,0.7443141,0.68738496,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7187855740388235
11,0.7589337,0.6974083,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7073630119363467
12,0.77229184,0.70601785,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6981840680042902
13,0.78437465,0.713293,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6911988308032354
14,0.7951505,0.7194236,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6860340262452761
15,0.8047808,0.72437894,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6821219349900881
16,0.8134785,0.7276508,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6791012162963549
17,0.8213796,0.72924274,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6765343993902206
18,0.8285061,0.7294057,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6744703004757563
