eig_idx,eigenvalue,boot_mean,ci_low,ci_high
1,0.13822801288390957,0.13829227066599448,0.13438061108610863,0.14233575838819001
2,0.007723241054078332,0.007727037578635486,0.006931022104404625,0.008540173048049706
3,0.0038702208767883678,0.003909284653922283,0.0033532659539692597,0.004632890416579461
4,0.0012961712430667825,0.0014386327367725252,0.0007139451481608226,0.0024460879029288124
5,0.0008095164475453332,0.0008015247555356424,0.00039277723120620405,0.001361247228282299
6,0.0004931061402949688,0.00048227912622998725,0.00029216356200238177,0.000760796046188893
7,0.00043420635220023075,0.00032675799250982503,0.00016573642545471664,0.0005406175914254121
8,0.0002549341642601362,0.00020011737427993415,8.618355307714104e-05,0.00030160166362605626
9,0.00011626589935506103,8.581256650078702e-05,2.728891713458179e-05,0.00014038209294526746
10,3.0686947163803854e-05,2.515399225578637e-05,1.3912607091328545e-05,3.686595637924892e-05
