param,sensitivity,boot_mean,ci_low,ci_high
P1,0.5043149931519437,0.5039841900442131,0.479502387445425,0.5278966944311796
P2,0.06290206199510036,0.06296345092675476,0.0558760741052533,0.07122147926597762
P3,0.0028346666387583075,0.0028222811459477633,0.002319933724594371,0.003335832430098121
P4,0.0005475415913017824,0.0005473262864070789,0.00040347719394764973,0.0007264553399830094
P5,0.0004325345568597809,0.0004306224646437687,0.00035284075524281993,0.0005184525899635826
P6,0.0031627958099312457,0.0031678943385427005,0.0029143969864522273,0.0034307407813216275
P7,0.19009719990095936,0.19033926525509398,0.17740167895398687,0.20329074087207732
P8,0.1734051496837887,0.17366792297835518,0.1622308380439238,0.18557569557293388
P9,0.04157476808373457,0.041418282731257666,0.033972190336711915,0.04887643886236116
P10,0.02072828858762312,0.02065876382878398,0.01699903144389956,0.024297303283317
