eig_idx,eigenvalue,boot_mean,ci_low,ci_high
1,8.530059805323956,8.53000146461535,8.163405335074513,8.890682985138636
2,1.4197325727435155,1.4243493552007465,1.2330648517999299,1.6338955187040696
3,0.8062153174977804,0.799937566950686,0.7350135919618709,0.8624396581904235
4,0.14682623782104479,0.1462956998876932,0.12901376151097055,0.16424853440825357
5,0.010375108639827334,0.010323030050098936,0.008435691945945803,0.012264677339287428
6,0.0019248767918737916,0.001932802570626406,0.0016551257707173265,0.0022244134956205136
7,0.0013123943292482115,0.0013286361715773199,0.001083415129987556,0.0016095661586889574
8,0.0010586122200308844,0.0010274221712735748,0.0008426328678082354,0.0012455710659703195
9,0.0007776372530304796,0.0007663898844962771,0.0006323504146396174,0.0009340616283942655
10,0.0006230962407158056,0.000587306046848376,0.0004729014279500545,0.0007054325143215614
