param,sensitivity,boot_mean,ci_low,ci_high
P1,0.623557539004025,0.6235648301747986,0.5978651667202682,0.6489912161404728
P2,0.09429699693992466,0.09427710179859923,0.07872313501690266,0.10970118026644009
P3,0.0015844442333697293,0.0015878270239485864,0.00127986271109804,0.00191441335306665
P4,0.00018619052874544083,0.00018690487522134803,0.00016275260834157699,0.00021285248918257588
P5,0.0001716294254610601,0.00017154764028080695,0.00014895679779518503,0.0001975349085498354
P6,0.001903980857870472,0.0019035249008378342,0.0017530777094040746,0.0020560449240930503
P7,0.12623205839874904,0.12622640727837658,0.11602127334369762,0.13626155760073574
P8,0.11182680750837552,0.11180927754609561,0.1026946283262801,0.12100586713668
P9,0.026454505743309487,0.02647845724467824,0.02237094393602132,0.03065848981097557
P10,0.01378584736016966,0.013794121517164146,0.011700671743818341,0.015936194355328524
