param,x0,grad_y_valley,grad_d_valley_nm,grad_y_prominence,effect_(+0.1)_y_valley,effect_(-0.1)_y_valley,effect_(+0.1)_d_valley_nm,effect_(-0.1)_d_valley_nm,effect_(+0.1)_y_prominence,effect_(-0.1)_y_prominence,fd_grad_y_valley,fd_grad_d_valley_nm,fd_grad_y_prominence
P1,0.5,0.61259294,-0.1335197,2.8920922,0.061259296,-0.061259296,-0.013351969,0.013351969,0.28920922,-0.28920922,0.5718708038330078,-0.13947486877441406,2.930784225463867
P2,0.5,-0.6783902,-0.022080157,0.28092277,-0.06783902,0.06783902,-0.0022080156,0.0022080156,0.028092278,-0.028092278,-0.6110191345214844,-0.01506805419921875,0.21605491638183594
P3,0.5,-0.010350227,-0.0017361604,0.020518437,-0.0010350228,0.0010350228,-0.00017361603,0.00017361603,0.0020518438,-0.0020518438,-0.010347366333007812,-0.0017642974853515625,0.020503997802734375
P4,0.5,0.0040369183,-0.0016762055,0.034027964,0.00040369184,-0.00040369184,-0.00016762056,0.00016762056,0.0034027963,-0.0034027963,0.0040531158447265625,-0.0016689300537109375,0.034046173095703125
P5,0.5,0.0020173192,-0.00044300593,0.013623863,0.00020173192,-0.00020173192,-4.4300596e-05,4.4300596e-05,0.0013623864,-0.0013623864,0.00209808349609375,-0.0003814697265625,0.01373291015625
P6,0.5,-0.06305608,0.006156279,-0.13941938,-0.0063056084,0.0063056084,0.0006156279,-0.0006156279,-0.013941938,0.013941938,-0.06313323974609375,0.006103515625,-0.13952255249023438
P7,0.5,0.49751902,-0.04460707,1.0243258,0.049751904,-0.049751904,-0.004460707,0.004460707,0.102432586,-0.102432586,0.4974842071533203,-0.0446319580078125,1.0242462158203125
P8,0.5,0.45057476,-0.042046763,0.9614357,0.045057476,-0.045057476,-0.0042046765,0.0042046765,0.096143566,-0.096143566,0.4505157470703125,-0.04215240478515625,0.9613513946533203
P9,0.5,-0.04871303,-0.0038268142,-0.018343046,-0.0048713027,0.0048713027,-0.00038268144,0.00038268144,-0.0018343047,0.0018343047,-0.02918243408203125,-0.0017642974853515625,-0.03724098205566406
P10,0.5,0.02809234,0.00245493,0.011685669,0.002809234,-0.002809234,0.000245493,-0.000245493,0.001168567,-0.001168567,0.028228759765625,0.0024318695068359375,0.011730194091796875
